"","iso_code","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed"
"1","DZA","2020-02-25",1,1,NA,NA,NA,NA
"2","DZA","2020-02-26",1,0,NA,NA,NA,NA
"3","DZA","2020-02-27",1,0,NA,NA,NA,NA
"4","DZA","2020-02-28",1,0,NA,NA,NA,NA
"5","DZA","2020-02-29",1,0,NA,NA,NA,NA
"6","DZA","2020-03-01",1,0,0.143,NA,NA,0
"7","DZA","2020-03-02",3,2,0.429,NA,NA,0
"8","DZA","2020-03-03",5,2,0.571,NA,NA,0
"9","DZA","2020-03-04",12,7,1.571,NA,NA,0
"10","DZA","2020-03-05",12,0,1.571,NA,NA,0
"11","DZA","2020-03-06",17,5,2.286,NA,NA,0
"12","DZA","2020-03-07",17,0,2.286,NA,NA,0
"13","DZA","2020-03-08",19,2,2.571,NA,NA,0
"14","DZA","2020-03-09",20,1,2.429,NA,NA,0
"15","DZA","2020-03-10",20,0,2.143,NA,NA,0
"16","DZA","2020-03-11",20,0,1.143,NA,NA,0
"17","DZA","2020-03-12",24,4,1.714,1,1,0.143
"18","DZA","2020-03-13",26,2,1.286,2,1,0.286
"19","DZA","2020-03-14",37,11,2.857,3,1,0.429
"20","DZA","2020-03-15",48,11,4.143,4,1,0.571
"21","DZA","2020-03-16",54,6,4.857,4,0,0.571
"22","DZA","2020-03-17",60,6,5.714,4,0,0.571
"23","DZA","2020-03-18",74,14,7.714,7,3,1
"24","DZA","2020-03-19",87,13,9,9,2,1.143
"25","DZA","2020-03-20",90,3,9.143,11,2,1.286
"26","DZA","2020-03-21",139,49,14.571,15,4,1.714
"27","DZA","2020-03-22",201,62,21.857,17,2,1.857
"28","DZA","2020-03-23",230,29,25.143,17,0,1.857
"29","DZA","2020-03-24",264,34,29.143,19,2,2.143
"30","DZA","2020-03-25",302,38,32.571,21,2,2
"31","DZA","2020-03-26",367,65,40,25,4,2.286
"32","DZA","2020-03-27",409,42,45.571,26,1,2.143
"33","DZA","2020-03-28",454,45,45,29,3,2
"34","DZA","2020-03-29",511,57,44.286,31,2,2
"35","DZA","2020-03-30",584,73,50.571,35,4,2.571
"36","DZA","2020-03-31",716,132,64.571,44,9,3.571
"37","DZA","2020-04-01",847,131,77.857,58,14,5.286
"38","DZA","2020-04-02",986,139,88.429,86,28,8.714
"39","DZA","2020-04-03",1171,185,108.857,105,19,11.286
"40","DZA","2020-04-04",1251,80,113.857,130,25,14.429
"41","DZA","2020-04-05",1320,69,115.571,152,22,17.286
"42","DZA","2020-04-06",1423,103,119.857,173,21,19.714
"43","DZA","2020-04-07",1468,45,107.429,193,20,21.286
"44","DZA","2020-04-08",1572,104,103.571,205,12,21
"45","DZA","2020-04-09",1666,94,97.143,235,30,21.286
"46","DZA","2020-04-10",1761,95,84.286,256,21,21.571
"47","DZA","2020-04-11",1825,64,82,275,19,20.714
"48","DZA","2020-04-12",1914,89,84.857,293,18,20.143
"49","DZA","2020-04-13",1983,69,80,313,20,20
"50","DZA","2020-04-14",2070,87,86,326,13,19
"51","DZA","2020-04-15",2160,90,84,336,10,18.714
"52","DZA","2020-04-16",2268,108,86,348,12,16.143
"53","DZA","2020-04-17",2418,150,93.857,364,16,15.429
"54","DZA","2020-04-18",2534,116,101.286,367,3,13.143
"55","DZA","2020-04-19",2629,95,102.143,375,8,11.714
"56","DZA","2020-04-20",2718,89,105,384,9,10.143
"57","DZA","2020-04-21",2811,93,105.857,392,8,9.429
"58","DZA","2020-04-22",2910,99,107.143,402,10,9.429
"59","DZA","2020-04-23",3007,97,105.571,407,5,8.429
"60","DZA","2020-04-24",3127,120,101.286,415,8,7.286
"61","DZA","2020-04-25",3256,129,103.143,419,4,7.429
"62","DZA","2020-04-26",3382,126,107.571,425,6,7.143
"63","DZA","2020-04-27",3517,135,114.143,432,7,6.857
"64","DZA","2020-04-28",3649,132,119.714,437,5,6.429
"65","DZA","2020-04-29",3848,199,134,444,7,6
"66","DZA","2020-04-30",4006,158,142.714,450,6,6.143
"67","DZA","2020-05-01",4154,148,146.714,453,3,5.429
"68","DZA","2020-05-02",4295,141,148.429,459,6,5.714
"69","DZA","2020-05-03",4474,179,156,463,4,5.429
"70","DZA","2020-05-04",4648,174,161.571,465,2,4.714
"71","DZA","2020-05-05",4838,190,169.857,470,5,4.714
"72","DZA","2020-05-06",4997,159,164.143,476,6,4.571
"73","DZA","2020-05-07",5182,185,168,483,7,4.714
"74","DZA","2020-05-08",5369,187,173.571,488,5,5
"75","DZA","2020-05-09",5558,189,180.429,494,6,5
"76","DZA","2020-05-10",5723,165,178.429,502,8,5.571
"77","DZA","2020-05-11",5891,168,177.571,507,5,6
"78","DZA","2020-05-12",6067,176,175.571,515,8,6.429
"79","DZA","2020-05-13",6253,186,179.429,522,7,6.571
"80","DZA","2020-05-14",6442,189,180,529,7,6.571
"81","DZA","2020-05-15",6629,187,180,536,7,6.857
"82","DZA","2020-05-16",6821,192,180.429,542,6,6.857
"83","DZA","2020-05-17",7019,198,185.143,548,6,6.571
"84","DZA","2020-05-18",7201,182,187.143,555,7,6.857
"85","DZA","2020-05-19",7377,176,187.143,561,6,6.571
"86","DZA","2020-05-20",7542,165,184.143,568,7,6.571
"87","DZA","2020-05-21",7728,186,183.714,575,7,6.571
