Country,Date_Recieved,Doses_Recieved,Type_Recieved,Doses_Allocated,Source
IRQ,2021-03-25,336000,AstraZeneca,1725600,"https://www.gavi.org/covax-vaccine-roll-out/iraq"
IRQ,2021-05-12,499200,AstraZeneca,1725600,"https://reliefweb.int/report/iraq/iraq-receives-second-delivery-covid-19-vaccines-through-covax-facility-enar"
JOR,2021-06-06,146000,AstraZeneca,477750,"https://www.zawya.com/mena/en/life/story/Jordan_receives_third_batch_of_COVID_vaccine_AstraZeneca_in_fight_against_pandemic-SNG_215460070/"
JOR,2021-03-13,290400,AstraZeneca,477750,"https://www.ghttps://www.reuters.com/article/us-health-coronavirus-vaccine-idUSKBN2B20YLavi.org/covax-vaccine-roll-out/jordan"
JOR,2021-04-18,146400,AstraZeneca,477750,"https://en.royanews.tv/news/27175/2021-04-19"
JOR,2021-06-06,146000,AstraZeneca,477750,"https://www.zawya.com/mena/en/life/story/Jordan_receives_third_batch_of_COVID_vaccine_AstraZeneca_in_fight_against_pandemic-SNG_215460070/"
LBN,2021-03-24,33600,AstraZeneca,292800,"https://www.gavi.org/covax-vaccine-roll-out/lebanon"
LBY,2021-04-08,58000,AstraZeneca,292800,"https://www.gavi.org/covax-vaccine-roll-out/libya"
LBY,2021-05-19,117600,AstraZeneca,292800,"https://www.reuters.com/article/us-health-coronavirus-vaccine-idUSKBN2B20YL"
SOM,2021-03-15,300000,AstraZeneca,1044000,"https://www.gavi.org/covax-vaccine-roll-out/somalia"
SYR,2021-04-22,256800,AstraZeneca,912000,"https://www.gavi.org/covax-vaccine-roll-out/syria"
TUN,2021-03-17,93600,Pfizer-BioNTech,506400,"https://www.gavi.org/covax-vaccine-roll-out/tunisia"
TUN,2021-04-01,98400,AstraZeneca,506400,"https://www.unicef.org/tunisia/recits/la-tunisie-re%C3%A7oit-un-2%C3%A8me-lot-de-98400-doses-de-vaccin-contre-la-covid-19-initiative-covax#:~:text=19%20%2D%20Initiative%20COVAX-,La%20Tunisie%20re%C3%A7oit%20un%202%C3%A8me%20lot%20de%2098.400%20doses%20de,de%20l'initiative%20mondiale%20COVAX&text=La%20Tunisie%20a%20re%C3%A7u%2C%20le,doses%20de%20vaccin%20Astra%20Zeneca"
TUN,2021-05-16,158400,AstraZeneca,506400,"https://www.unicef.org/tunisia/communiqu%C3%A9s-de-presse/la-tunisie-re%C3%A7oit-le-3%C3%A8me-lot-de-vaccins-contre-la-covid-19-dans-le-cadre-de"
PSE,2021-03-17,24000,AstraZeneca,205440,"https://www.gavi.org/covax-vaccine-roll-out/west-bank-and-gaza"
PSE,2021-03-17,37440,Pfizer-BioNTech,205440,"https://www.gavi.org/covax-vaccine-roll-out/west-bank-and-gaza"
YEM,2021-03-31,360000,AstraZeneca,1968000,"https://www.gavi.org/covax-vaccine-roll-out/yemen"
DZA,2021-04-03,364800,AstraZeneca,1881600,"https://www.gavi.org/covax-vaccine-roll-out/algeria"
MRT,2021-04-14,69500,AstraZeneca,300000,"https://www.gavi.org/covax-vaccine-roll-out/mauritania"
MRT,2021-04-26,31200,AstraZeneca,300000,"https://www.gavi.org/covax-vaccine-roll-out/mauritania"
SSD,2021-03-25,132000,AstraZeneca,732000,"https://www.gavi.org/covax-vaccine-roll-out/south-sudan"
EGY,2021-04-01,854400,AstraZeneca,4500000,"http://www.emro.who.int/media/news/854-400-covid-19-vaccine-doses-shipped-by-covax-to-egypt.html"
EGY,2021-05-13,1768800,AstraZeneca,4500000,"https://reliefweb.int/report/egypt/egypt-receives-second-shipment-177-million-covid-19-vaccines-through-covax-facility"
MAR,2021-04-08,300000,AstraZeneca,1600000,"https://northafricapost.com/49729-covax-program-morocco-receives-650000-doses-of-astrazeneca-vaccine.html"
MAR,2021-04-15,650000,AstraZeneca,1600000,"https://northafricapost.com/49729-covax-program-morocco-receives-650000-doses-of-astrazeneca-vaccine.html"
SDN,2021-03-03,820000,AstraZeneca,3400000,"https://www.voanews.com/covid-19-pandemic/sudan-rwanda-receive-shipments-covid-19-vaccines"
