Country,Registration-Platform,Start-Date,URL
ARE,Online,2020-12-14,https://www.dha.gov.ae/en/Covid19/Pages/VaccineAppoint.aspx
BHR,Online,2020-12-17,https://healthalert.gov.bh/en/category/vaccine
DZA,Online,2021-01-30,http://www.sante.gov.dz/prevention/1067-inscription-pour-vaccination-covid-19-en-ligne.html
EGY,Online,2021-01-25,http://mohpegypt.com/
IRQ,,2021-03-02,
ISR,,2020-12-27,https://govextra.gov.il/ministry-of-health/covid19-vaccine/en-covid19-vaccination-information/
JOR,Online,2021-01-13,https://vaccine.jo/cvms/
KWT,Online,2020-12-24,https://cov19vaccine.moh.gov.kw/SPCMS/CVD_19_Vaccine_Registration.aspx 
LBN,Online,2021-02-14,https://covax.moph.gov.lb/impactmobile/vaccine
LBY,,,
MAR,,2021-01-27,https://www.liqahcorona.ma/fr
MRT,,,
OMN,,2020-12-27,
PSE,,2021-02-03,
QAT,Online,2020-12-23,https://app-covid19.moph.gov.qa/en/instructions.html
SAU,Online,2020-12-17,http://onelink.to/yjc3nj
SOM,,,
SON,,2021-03-11,
SSO,,,
SYR,,2021-03-01,
TUN,Online,2021-03-13,https://www.evax.tn/
YEM,,,
