Country-Code,Country,Year,Population
DZA,Algeria,2020,43851043
BHR,Bahrain,2020,1701583
EGY,Egypt,2020,102334403
IRQ,Iraq,2020,40222503
JOR,Jordan,2020,10203140
KWT,Kuwait,2020,4270563
LBN,Lebanon,2020,6825442
LBY,Libya,2020,6871287
MAR,Morocco,2020,36910558
OMN,Oman,2020,5106622
PSE,Palestine,2020,5101416
QAT,Qatar,2020,2881060
SAU,Saudi-Arabia,2020,34813867
Sudan
SYR,Syria,2020,17500657
TUN,Tunisia,2020,11818618
ARE,United-Arab-Emirates,2020,9890400
YEM,Yemen2020,29825968
SOM,Somalia2020,15893219
