Country, Publication_Date,Title,
ARE,2021-07-13,"UAE public urged to celebrate Eid Al Adha safely after rise in Covid-19 holiday deaths","https://www.thenationalnews.com/coronavirus/2021/07/13/uae-urged-to-celebrate-eid-al-adha-safely-after-spike-in-covid-19-deaths-in-holiday-period/"
ARE,2021-07-05,"Get vaccinated, help UAE fight new variants, doctors urge","https://www.khaleejtimes.com/coronavirus-pandemic/covid-get-vaccinated-help-uae-fight-new-variants-doctors-urge"
ARE,2021-07-04," UAE approves emergency registration of Moderna COVID-19 vaccine","https://www.zawya.com/mena/en/life/story/UAE_approves_emergency_registration_of_Moderna_COVID19_vaccine-WAM20210704093733461/"
ARE,2021-06-28,"Covid vaccine: UAE doctors warn against taking two Pfizer booster shots after Sinopharm jab","https://www.khaleejtimes.com/coronavirus-pandemic/covid-vaccine-uae-doctors-warn-against-taking-two-pfizer-booster-shots-after-sinopharm-jab"
ARE,2021-06-28,"More infectious COVID-19 variants account for most UAE cases, authority says","https://www.reuters.com/world/middle-east/more-infectious-covid-19-variants-account-most-uae-cases-authority-says-2021-06-28/"
ARE,2021-06-22,"Abu Dhabi opens up free COVID-19 vaccines to tourists","https://www.reuters.com/world/middle-east/abu-dhabi-opens-up-free-covid-19-vaccines-tourists-2021-06-22/"
ARE,2021-06-19,"Covid-19 Delta variant in GCC: UAE doctors tell residents to remain cautious","https://www.khaleejtimes.com/coronavirus-pandemic/covid-19-delta-variant-in-gcc-uae-doctors-tell-residents-to-remain-cautious"
ARE,2021-06-15,"Unvaccinated at high risk from coronavirus variants, says Dr Farida Al Hosani","https://gulfnews.com/uae/health/covid-19-unvaccinated-at-high-risk-from-coronavirus-variants-says-dr-farida-al-hosani-1.1623775532375"
ARE,2021-06-11,"UAE to trial Sinopharm Covid vaccine in children aged 3 to 17","https://www.khaleejtimes.com/coronavirus-pandemic/uae-to-trial-sinopharm-covid-vaccine-in-children-aged-3-to-17"
ARE,2021-06-07,"UAE approves new green pass protocol on Alhosn app","https://www.khaleejtimes.com/coronavirus-pandemic/covid-19-uae-approves-new-green-pass-protocol-on-alhosn-app"
ARE,2021-05-27,"UAE begins Covid-19 vaccine drive for 15,000 Syrian refugees and displaced people in Iraq","https://www.thenationalnews.com/uae/government/uae-begins-covid-19-vaccine-drive-for-15-000-syrian-refugees-and-displaced-people-in-iraq-1.1231184"
ARE,2021-05-26,"UAE is now ‘number one’ in world vaccination race","https://english.alarabiya.net/coronavirus/2021/05/26/UAE-is-now-number-one-in-world-vaccination-race-Ministry"
ARE,2021-05-03,"UAE witnessed outcomes of successful strategies to address COVID-19 pandemic","https://wam.ae/en/details/1395302932217"
ARE,2021-05-02,"Smart Dubai, MBRU develop a novel COVID-19 epidemiological model","https://www.wam.ae/en/details/1395302931841"
ARE,2021-04-18,"The MOH is authorizing COVID 19 vaccines for pregnant and breastfeeding women","https://arabic.cnn.com/health/article/2021/04/18/covid-vaccine-eligibility-women-dubai"
ARE,2021-04-12,"Hope Consortium creates largest freezer farm for COVID-19 vaccines","https://www.zawya.com/mena/en/business/story/Hope_Consortium_creates_largest_freezer_farm_for_COVID19_vaccines-SNG_207702241/"
ARE,2021-04-10,"UAE is approaching 9 million vaccinated","https://zajelpress.ps/arab/74862/%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AA%D9%82%D8%AA%D8%B1%D8%A8-%D9%85%D9%86-%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-9-%D9%85%D9%84%D8%A7%D9%8A%D9%8A%D9%86-%D8%AC%D8%B1%D8%B9%D8%A9-%D9%85%D9%86-%D9%84%D9%82%D8%A7%D8%AD-%D9%83%D9%88%D9%81%D9%8A%D8%AF-19"
ARE,2021-01-19,"UAE Covid vaccination doses cross two million","https://www.khaleejtimes.com/news/uae-covid-vaccination-doses-cross-two-million"

