Country, Publication_Date,Title,URL
EGY,2021-07-06,"Egypt produces 1 million vaccines, eyes self-sufficiency","https://www.arabnews.com/node/1889541/middle-east"
EGY,2021-07-03,"Egypt to receive 120 million doses of COVID-19 vaccines, says health min","https://www.egypttoday.com/Article/1/105628/Egypt-to-receive-120-million-doses-of-COVID-19-vaccines"
EGY,2021-06-29," Haphazard and flawed Covid-19 vaccine rollout fails to prioritize most at-risk","https://www.amnesty.org/en/latest/news/2021/06/egypt-haphazard-and-flawed-covid-19-vaccine-rollout-fails-to-prioritize-most-at-risk/"
EGP,2021-06-28,"Presidential adviser: Egypt now past peak of third wave of coronavirus","https://www.egypttoday.com/Article/1/105463/Presidential-adviser-Egypt-now-past-peak-of-third-wave-of"
EGY,2021-06-11,"Egypt joins the race to produce critically-needed Covid-19 vaccines for Africa", "https://qz.com/africa/2019420/egypt-races-to-produce-critically-needed-covid-19-vaccines/"
EGY,2021-06-10," Health official on 4th COVID wave: Depends on citizens’ adherence to precautionary measures", "https://www.egypttoday.com/Article/1/104858/Health-official-on-4th-COVID-wave-Depends-on-citizens%E2%80%99-adherence"
EGY,2021-06-02,"Egypt past 3rd coronavirus wave peak: what is next?", "https://www.egypttoday.com/Article/1/104596/Egypt-past-3rd-coronavirus-wave-peak-what-is-next"
EGY,2021-05-29,"Egypt delivers COVID-19 vaccine at home to those unable to move ", "https://www.egyptindependent.com/egypt-delivers-covid-19-vaccine-at-home-to-those-unable-to-move/"
EGY,2021-05-26,"Egypts Covid-19 vaccination programme picks up pace", "https://www.thenationalnews.com/mena/egypt-s-covid-19-vaccination-programme-picks-up-pace-1.1230544"
EGY,2021-05-01,"Egypt to receive new batches of anti-coronavirus vaccines", "https://www.egypttoday.com/Article/1/101501/Egypt-to-receive-new-batches-of-anti-coronavirus-vaccines"
EGY,2021-04-16,"Statement of the State of Egypt By His Excellency the minister of foreign affairs at the Economic and Social Council Special meeting on ""A Vaccine for all""", "https://estatements.unmeetings.org/estatements/30.0010/20210416/CSNben6Pwbe2/67sYGmkblxbs_ar.pdf"
EGY,2021-04-16,"Egypt to receive 4.5M coronavirus vaccine doses until the end of May through COVAX", "https://www.egypttoday.com/Article/1/100943/Egypt-to-receive-4-5M-coronavirus-vaccine-doses-until-end"
EGY,2021-04-08,"Egypt to receive 4.5 million remaining doses of AstraZeneca under COVAX within one month", "https://english.ahram.org.eg/NewsContent/1/64/408809/Egypt/Politics-/Egypt-to-receive--million-remaining-doses-of-Astra.aspx"



