Country, Publication_Date,Title,URL
KWT,2021-07-17,"Kuwait to finalize vaccinating health workers first degree relatives","https://gulfnews.com/world/gulf/kuwait/kuwait-to-finalise-vaccinating-health-care-workers-first-degree-relatives-1.80720125"
KWT,2021-07-12,"Kuwaiti charities donate 400 oxygen devices to Tunisia","https://news.kuwaittimes.net/website/kuwaiti-charities-donate-400-oxygen-devices-to-tunisia/"
KWT,2021-07-05,"Kuwait records highest number of COVID-19 cases since outbreak of pandemic","https://saudigazette.com.sa/article/608496/World/Mena/Kuwait-records-highest-number-of-COVID-19-cases-since-outbreak-of-pandemic"
KWT,2021-06-27," Kuwait starts to prevent unvaccinated from entering shopping malls to contain COVID-19","http://www.xinhuanet.com/english/2021-06/27/c_1310030866.htm"
KWT,2021-06-15,"WHO: Kuwait headquarters to provide impetus for closer ties","https://news.kuwaittimes.net/website/who-kuwait-headquarters-to-provide-impetus-for-closer-ties/"
KWT,2021-06-14,"Same precautions against diverse COVID variants — Kuwait health minister","https://saudigazette.com.sa/article/607858/World/Mena/Same-precautions-against-diverse-COVID-variants-mdash-Kuwait-health-minister"
KWT,2021-06-14,"Kuwait confirms cases of contagious Delta variant", "https://www.khaleejtimes.com/coronavirus-pandemic/covid-19-kuwait-confirms-cases-of-contagious-delta-variant"
KWT,2021-06-10,"40,000 people get second dose of Oxford vaccine in a day in Kuwait", "https://gulfnews.com/world/gulf/kuwait/40000-people-get-second-dose-of-oxford-vaccine-in-a-day-in-kuwait-1.79808335"
KWT,2021-06-03,"Kuwait becomes the Middle East's second country after the UAE to approve the sotrovimab antibody treatment", "https://www.thenationalnews.com/gulf-news/new-covid-19-antibody-treatment-approved-in-kuwait-1.1234665"
KWT,2021-05-30,"Inauguration of a vaccine drive through that will vaccinate 5,000 per day", "http://www.xinhuanet.com/english/2021-05/30/c_139979368.htm"
KWT,2021-05-03,"Kuwait extends second dose of COVID-19 vaccines over delayed exports", "https://www.arabtimesonline.com/news/gap-between-two-doses-of-pfizer-vaccine-increased/"
KWT,2021-05-01,"Two million vaccination target set for end-June", "https://www.arabtimesonline.com/news/two-million-vaccination-target-set-for-end-june/"
KWT,2021-04-18,"882,000 people get the vaccine in Kuwait The country aims to inoculate 2 million people by the end of Ramadan", "https://gulfnews.com/world/gulf/kuwait/covid-19-882000-people-get-vaccine-in-kuwait-1.78587417"
KWT,2021-04-10,"Kuwait expands COVID 19 vaccination to seven more cities", "https://www.kuna.net.kw/ArticleDetails.aspx?id=2970401&language=en#"
KWT,2021-01-17,"Health minister:More than 20,000 have received first dose of Covid-19 vaccine", "https://www.gdnonline.com/Details/913268/Health-minister-Over-20,000-have-received-first-dose-of-Covid-19-vaccine"

