Country, Publication_Date,Title,URL
LBN,2021-07-11,"Lebanon’s power blackouts halt COVID-19 vaccine drive","https://www.arabnews.com/node/1892056/middle-east"
LBN,2021-07-04," Delta variant COVID-19 cases rise in Lebanon","https://www.arabnews.com/node/1888076/middle-east"
LBN,2021-07-02,"Renewing humanitarian power in Lebanon and Syria","https://today.lorientlejour.com/article/1267172/renewing-humanitarian-power-in-lebanon-and-syria.html"
LBN,2021-06-27,"Tackling COVID-19 in Lebanon Through Prevention and Vaccination","https://reliefweb.int/report/lebanon/tackling-covid-19-lebanon-through-prevention-and-vaccination-enar"
LBN,2021-06-25,"Lebanon prepares for 4th of July celebration with most COVID restrictions lifted","https://lebtown.com/2021/06/25/lebanon-prepares-for-4th-of-july-celebration-with-most-covid-restrictions-lifted/"
LBN,2021-06-10,"Jabs for votes: Lebanon’s oligarchs turn to Covid bribery", "https://gulfnews.com/world/mena/jabs-for-votes-lebanons-oligarchs-turn-to-covid-bribery-1.79806647"
LBN,2021-06-04,"800,000 lebanese received vaccine Jabs", "https://www.alalamtv.net/news/5630273/800-%D8%A3%D9%84%D9%81-%D9%81%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D8%AA%D9%84%D9%82%D9%88%D8%A7-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD-%D8%B6%D8%AF-%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7"
LBN,2021-05-30,"Lebanon ramps up COVID-19 fight with joyful vaccination marathon", "https://www.arabnews.com/node/1867126/middle-east"
LBN,2021-04-29,"In Jordan and Lebanon, refugee volunteers boost vaccine uptake EN/AR", "https://reliefweb.int/report/jordan/jordan-and-lebanon-refugee-volunteers-boost-vaccine-uptake-enar"
LBN,2021-04-17,"Lebanon receives its 10th Pfizer shipment with 47,970 doses", "https://arabic.sputniknews.com/arab_world/202104171048718709-%D9%88%D8%B5%D9%88%D9%84-%D8%A7%D9%84%D8%B4%D8%AD%D9%86%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D8%B4%D8%B1%D8%A9-%D9%85%D9%86-%D9%84%D9%82%D8%A7%D8%AD-%D9%81%D8%A7%D9%8A%D8%B2%D8%B1-%D8%A5%D9%84%D9%89-%D9%84%D8%A8%D9%86%D8%A7%D9%86/"
LBN,2021-04-16,"Statement by H.E. Dr. Amal Mudallali Permanent Representative of Lebanon to the United Nations at the Economic and Social Council Special meeting on ""A Vaccine for all""", "https://estatements.unmeetings.org/estatements/30.0010/20210416/EGW2rH4DTjW9/3FoUvb5XD7qH_en.pdf"
LBN,2021-04-08,"Seven million doses are coming to Lebanon 400000 arriving this month", "https://www.moph.gov.lb/userfiles/files/Prevention/COVID-19%20Vaccine/Lebanon%20NDVP-%20Feb%2016%202021.pdf"
LBN,2021-01-15,"Diab signs a decree related to the Corona vaccine", "https://www.lebanon24.com/news/lebanon/784550/"
