Country, Publication_Date,Title,URL
MAR,2021-07-18,"Sinopharm Delivers Two Million Doses of COVID-19 Vaccines to Morocco","https://www.moroccoworldnews.com/2021/07/343471/sinopharm-delivers-two-million-doses-of-covid-19-vaccines-to-morocco"
MAR,2021-07-06,"Morocco to produce Sinopharm Covid vaccine","https://medicalxpress.com/news/2021-07-morocco-sinopharm-covid-vaccine.html"
MAR,2021-07-02,"Morocco Detects Delta Variant Hotspots ","https://www.moroccoworldnews.com/2021/07/343196/covid-19-morocco-detects-delta-variant-hotspots"
MAR,2021-06-25,"Morocco Considers Locally Producing COVID-19 Vaccines","https://www.moroccoworldnews.com/2021/06/343089/morocco-considers-locally-producing-covid-19-vaccines"
MAR,2021-06-12,"Over 7 mln people in Morocco fully vaccinated against COVID-19", "http://www.xinhuanet.com/english/africa/2021-06/12/c_1310003519.htm"
MAR,2021-06-07,"to open to travellers from June 15 as Covid rules ease", "https://www.thenationalnews.com/mena/morocco-to-open-to-travellers-from-june-15-as-covid-rules-ease-1.1236390"
MAR,2021-06-06,"first in region to issue vaccination passport", "https://gulfnews.com/world/mena/covid-19-morocco-first-in-region-to-issue-vaccination-passport-1.79714333"
MAR,2021-05-30,"Morocco Donates COVID-19 Vaccines Lot to Mauritania", "https://www.moroccoworldnews.com/2021/05/342657/morocco-donates-covid-19-vaccines-lot-to-mauritania"
MAR,2021-05-03,"COVID 19: 5.1 million people vaccinated so far", "https://www.leconomiste.com/flash-infos/covid19-3"
MAR,2021-05-03,"Women are behind the success of the vaccination campaign", "https://www.elle.fr/Societe/News/Maroc-les-femmes-derriere-le-succes-de-la-campagne-de-vaccination-3926517"
MAR,2021-04-28,"Morocco's World-Leading COVID-19 Vaccine Rollout Is Being Hit Hard by Rich Countries Hoarding Doses", "https://www.globalcitizen.org/en/content/morocco-outpaces-global-covid-19-vaccination-rates/"
