Publication_Date,Title,URL
2021-06-20,"Egypt to establish largest center for vaccines production in MENA, worth nearly US$100 million","https://www.egyptindependent.com/egypt-to-establish-largest-center-for-vaccines-production-in-mena-worth-nearly-us100-million/"
2021-06-14,"UNHCR ME COVID-19 COVID-19 Vaccinations:Update #3 (June 2021)","https://reliefweb.int/report/syrian-arab-republic/unhcr-mena-covid-19-covid-19-vaccinations-update-3-june-2021"
2021-06-11,"A year after patient zero: Essential health services and systems in ME","https://blogs.worldbank.org/arabvoices/year-after-patient-zero-essential-health-services-and-systems-mena"
2021-06-10,"WHO Warns Eastern Mediterranean Countries against Easing COVID-19 Restrictions","https://www.google.com/url?q=https://english.aawsat.com/home/article/3019416/who-warns-eastern-mediterranean-countries-against-easing-covid-19-restrictions&sa=D&source=editors&ust=1623871701892000&usg=AOvVaw3bBC6hUbQ5zEAMvChxZxwg"
2021-06-09,"ME Covid-19 economic recovery disparate","https://iclg.com/alb/16493-mena-covid-19-recovery-disparate"
2021-06-09,"WHO: less than 10% of Eastern Mediterranean population given first Covid vaccine dose","https://www.thenationalnews.com/mena/who-less-than-10-of-eastern-mediterranean-population-given-first-covid-vaccine-dose-1.1238252"
2021-06-08,"WHO tri-regional policy dialogue seeks solutions to challenges facing international mobility of health professionals","http://www.emro.who.int/media/news/who-tri-regional-policy-dialogue-seeks-solutions-to-challenges-facing-international-mobility-of-health-professionals.html"
2021-06-07,"Ahmed Al-Mandhari regional director of the WHO speaking about the situation in the region and access to COVID-19 vaccines including the WHO-approved Chinese vaccine Sinopharm", "https://www.youtube.com/watch?v=0DyhWK1DvPo"
2021-06-06,"Saudi Arabia plans 'digital' Haj","https://gulfnews.com/world/gulf/saudi/covid-19-saudi-arabia-plans-digital-haj-1.79712564"
2021-06-05,"Let’s not allow this COVID-19 crisis to go to waste","https://www.zawya.com/mena/en/economy/story/Lets_not_allow_this_COVID19_crisis_to_go_to_waste-SNG_215451409/"
2021-06-03,"Assessing the Socio-Economic Impact of Covid-19 on Migrants and Displaced Populations in the ME Region", "https://reliefweb.int/report/libya/assessing-socio-economic-impact-covid-19-migrants-and-displaced-populations-mena-region"
2021-05-31,"More than 10 million cases of COVID-19 reported in WHO’s Eastern Mediterranean Region","http://www.emro.who.int/media/news/more-than-10-million-cases-of-covid-19-reported-in-whos-eastern-mediterranean-region.html"
2021-05-30,"Q&A with WHO regional director about COVID 19 in EMRO","https://www.scidev.net/mena/opinions/q-a-regional-director-who-covid-19-vaccination-eastern-mediterranean/"
2021-05-30,"TV Interview With WHO EMRO’s DPM Dr. Rana Hajjeh","https://www.youtube.com/watch?v=KZ9SJ6u1pAM"
2021-05-29,"GCC health ministers meet to discuss COVID-19","https://timesofoman.com/article/101894-gcc-health-ministers-meet-to-discuss-covid-19"
2021-05-28,"Immunization inequality threatens early Middle East economic recovery","https://marketresearchtelecast.com/immunization-inequality-threatens-early-middle-east-economic-recovery/55486/"
2021-05-22,"COVID WHO EMRO Bi-weekly situation update","http://www.emro.who.int/images/stories/coronavirus/10.pdf?ua=1"
2021-04-28,"World Immunization Week 2021-Vaccines bring us closer","https://www.unicef.org/iraq/press-releases/joint-statement-unicef-and-who"
2021-04-28,"Complacency ‘led to COVID-19 spike’ in the Middle East","https://www.zawya.com/mena/en/life/story/Complacency_led_to_COVID19_spike_in_the_Middle_East-SNG_209451087/"
2021-04-28,"UNICEF's remarks at the WHO (EMRO) Press Conference on World Immunization Week 2021 and COVID-19","https://reliefweb.int/report/yemen/unicefs-remarks-who-emro-press-conference-world-immunization-week-2021-and-covid-19"
2021-04-28,"UNICEF and WHO Launch Immunization Agenda 2030","https://www.albawaba.com/news/unicef-and-who-launch-immunization-agenda-2030-1424776"
2021-04-27,"WHO-EMRO calls for re-awakening as Covid-19 cases rise at alarming rate: Dr Ahmed Al Mandhari said lack of precautions and vaccine hesitancy are largely to blame for sharp rise", "https://www.thenationalnews.com/mena/who-calls-for-re-awakening-as-covid-19-cases-rise-at-alarming-rate-1.1212279"

