Country, Publication_Date,Title,URL
SAU,2021-07-12,"Saudi Arabia to send one million doses of vaccine to Tunisia","https://www.reuters.com/world/middle-east/saudi-arabia-send-one-million-doses-vaccine-tunisia-2021-07-12/"
SAU,2021-07-09,"Saudi Arabia approves Moderna's COVID vaccine -state news agency","https://www.reuters.com/business/healthcare-pharmaceuticals/saudi-arabia-approves-modernas-covid-vaccine-state-news-agency-2021-07-09/"
SAU,2021-07-02,"Unvaccinated individuals account for 99% of COVID-19 critical cases: MoH","https://saudigazette.com.sa/article/608372"
SAU,2021-06-20,"Saudi Arabia’s response to the COVID-19 pandemic places it at the highest ranks on international indexes","https://www.arabnews.com/node/1880171/saudi-arabia"
SAU,2021-06-19,"Second dose of coronavirus vaccine available from July in Saudi Arabia","https://www.arabnews.com/node/1879211/saudi-arabia"
SAU, 2021-06-14, "Quota for Hajj 2021", "https://www.meed.com/saudi-arabia-confirms-quota-for-hajj-2021"
SAU, 2021-06-14, "Saudi Arabia studies vaccinating 12-18 aged group", "https://www.zawya.com/mena/en/life/story/Saudi_Arabia_studies_vaccinating_1218_aged_group-SNG_216933145/"
SAU, 2021-06-06, "COVID-19 vaccine not mandatory, but necessary for coexistence: Saudi minister", "https://www.zawya.com/mena/en/life/story/COVID19_vaccine_not_mandatory_but_necessary_for_coexistence_Saudi_minister-SNG_215544515/"
SAU, 2021-06-05, "Covid vaccine second dose available for only five categories", "https://gulfnews.com/world/gulf/saudi/covid-19-vaccination-accessible-to-5-categories-1.1622907228261"
SAU, 2021-05-31, "Saudi Arabia administered over 13.9 mln COVID-19 vaccine doses so far", "https://english.alarabiya.net/coronavirus/2021/05/31/Saudi-Arabia-administered-over-13-9-mln-COVID-19-vaccine-doses-so-far-Official"
SAU, 2021-05-04, "Saudi ministry rejects claims about 2nd vaccine dose", "https://www.arabnews.com/node/1853191/saudi-arabia"
SAU, 2021-05-02, "Saudi Arabia has provided 9.5 mln COVID-19 vaccines:Health minister", "https://english.alarabiya.net/coronavirus/2021/05/02/Saudi-Arabia-has-provided-9-5-mln-COVID-19-vaccines-so-far-Health-minister"
SAU, 2021-04-10, "Over 6 million COVID-19 vaccine doses administered in Saudi Arabia", "https://saudigazette.com.sa/article/605410/SAUDI-ARABIA/Over-6-million-COVID-19-vaccine-doses-administered-in-Saudi-Arabia"
SAU, 2021-01-16, "Saudi Arabia has so far contributed $713 million to support global COVID-19 relief efforts: Al-Rabeeah", "https://saudigazette.com.sa/article/605665/SAUDI-ARABIA/Saudi-Arabia-has-so-far-contributed-$713-million-tosupport-global-COVID-19-relief-efforts-Al-Rabeeah"

