Country, Publication_Date,Title,URL
TUN, 2021-01-14, "Tunisia's access to the anti-Covid-19 vaccine: truth from falsehood", "https://lapresse.tn/84308/acces-de-la-tunisie-au-vaccin-anti-covid-19-le-vrai-du-faux/",
TUN, 2021-04-15, "Tunisia calls for more support to COVAX to ensure an equitable and fair vaccine distribution", "https://www.babnet.net/rttdetail-224228.asp",
TUN, 2021-04-19,  "Opening six new vaccination centers", "http://www.rtci.tn/covid-19-ouverture-six-nouveaux-centres-vaccination/", 
TUN, 2021-04-08, "Tunisia gives J&J an emergency use authorization in preparation to receiving doses from the AU", "https://www.shemsfm.net/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1_%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%AA%D9%88%D9%86%D8%B3_%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9/284121/%D8%A5%D8%B3%D9%86%D8%A7%D8%AF-%D8%B1%D8%AE%D8%B5%D8%A9-%D8%AA%D8%B1%D9%88%D9%8A%D8%AC-%D8%A5%D8%B3%D8%AA%D8%AB%D9%86%D8%A7%D8%A6%D9%8A%D8%A9-%D9%88%D9%85%D8%A4%D9%82%D8%AA%D8%A9-%D8%A8%D8%A7%D9%84%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9-%D9%84%D9%84%D9%82%D8%A7%D8%AD-janssen-covid-19-vaccine", 
TUN, 2021-05-03, "Doctors strike slows down the vaccination campaign", "http://alwasat.ly/news/international/319380",





