 Publication_Date,Title,URL

2021-05-03, "WHO estimates that the final decision on the assessment of Sputnik V will be announced around June or July", "https://www.almanarcomlb/8164774"
2021-05-30, "Will We Need a COVID-19 Vaccine Booster Shot Later This Year?", "https://www.irishtimes.com/life-and-style/health-family/covid-19-vaccine-will-we-need-a-booster-shot-and-when-1.4577841"
2021-05-03, "Pressure Mounts to Lift Patent Protections on Coronavirus Vaccines", "https://www.nytimes.com/2021/05/03/us/politics/biden-coronavirus-vaccine-patents.html"
2021-05-27, "Gavi expects India to resume supplies soon even if in reduced quantities", "https://theprint.in/health/vaccine-alliance-gavi-expects-india-to-resume-supplies-soon-even-if-in-reduced-quantities/666414/"
2021-05-03, "WHO gives emergency use authorization to Moderna COVID-19 vaccine", "https://www.jagranjosh.com/current-affairs/who-gives-emergency-use-authorization-to-modern"
2021-05-03, "COVID-19 Chinese vaccines to enter COVAX benefiting more countries", "https://news.cgtn.com/news/2021-05-03/COVID-19-Chinese-vaccines-to-enter-COVAX-benefiting-more-countries-ZVR30wIoYU/index.html"  
2021-05-31, "South Korea's Samsung Biologics to add mRNA vaccine production line", "https://www.channelnewsasia.com/news/business/south-korea-s-samsung-biologics-to-add-mrna-vaccine-production-line-14920826"  
2021-05-26, "The world's biggest vaccine maker is stalling on exports. That's a problem for the planet's most vulnerable", "https://cnnphilippines.com/world/2021/5/26/sii-india-vaccine-maker.html" 
2021-05-26, "Egypts drugmaker EVA Pharma to manufacture coronavirus vaccine", "https://english.ahram.org.eg/NewsContent/1/64/412978/Egypt/Politics-/Egypts-drugmaker-EVA-Pharma-to-manufacture-coronav.aspx"
