Country,Sputnik,Date-Approved,CNBG,Date-Approved,Pfizer-BioNTech,Date-Approved,Astrazeneca,Date-Approved,Moderna,Date-Approved
ARE,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
BHR,Approved,unkown,Approved,unkown,Approved,unkown,Approved,unkown,Not-Approved,
DZA,Approved,Unknown,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
EGY,Approved,unkown,Approved,unkown,Not-Approved,,Approved,unkown,Not-Approved,
IRQ,Not-Approved,,Approved,unkown,Approved,unkown,Approved,unkown,Not-Approved,
ISR,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
JOR,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
KWT,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
LBN,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
LBY,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
MAR,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
MRT,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
OMN,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
PSE,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
QAT,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
SAU,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
SOM,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
SON,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
SSO,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
SYR,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
TUN,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
YEM,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
