Country, Date_Recieved, #Doses_Recieved, Type_Recieved, Agreement_type, Source
BHR, 2021-03-12, 300000, Sinopharm, Bilateral deal, "https://saudigazette.com.sa/article/604364"
UAE, 2021-02-02, 200000, AstraZeneca, Bilateral deal, "https://www.arabnews.com/node/1802401/middle-east"
UAE, 2021-02-16, NM,  Pfizer-BioNTech, Bilateral deal, "https://gulfnews.com/uae/health/dubai-receives-new-shipment-of-pfizer-biontech-vaccine-1.77238504"
DZA, 2021-04-03, 364800, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/algeria"
EGY, 2021-05-13, 1768800, AstraZeneca, COVAX, "http://www.emro.who.int/fr/media/actualites/854-400-covid-19-vaccine-doses-shipped-by-covax-to-egypt.html"
EGY, 2021-04-01, 854400, AstraZeneca, COVAX, "http://www.emro.who.int/media/news/854-400-covid-19-vaccine-doses-shipped-by-covax-to-egypt.html"
IRQ, 2021-03-25, 336000, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/iraq"
IRQ, 2021-05-12, 499200, AstraZeneca, COVAX, "https://reliefweb.int/report/iraq/iraq-receives-second-delivery-covid-19-vaccines-through-covax-facility-enar"
ISR, 2020-12-09,NM,Pfizer,Bilateral deal,"https://www.cnbc.com/2020/12/09/israel-to-receive-initial-shipment-of-pfizer-coronavirus-vaccine.html#:~:text=Israel%20received%20its%20first%20shipment,of%20doses%20of%20Pfizer%20Inc."
JOR, 2021-03-13, 290400, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/jordan"
JOR, 2021-04-18, 146400, AstraZeneca, COVAX, "https://en.royanews.tv/news/27175/2021-04-19"
KWT, 2021-01-02, 200000, AstraZeneca, Bilateral deal, "http://www.xinhuanet.com/english/2021-02/01/c_139711424.htm"
KWT, 2021-04-04, 150000, AstraZeneca, Bilateral deal, "https://gulfnews.com/world/gulf/kuwait/covid-19-kuwait-receives-2nd-batch-of-oxford-astrazeneca-vaccine-1.78326364"
LBN, 2021-04-08, 58000 , AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/lebanon"
LBN, 2021-02-20, 40000, Pfizer-BioNTech, Bilateral deal, "https://www.al-akhbar.com/Community/300447/%D8%A7%D9%84%D8%AF%D9%81%D8%B9%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD%D8%A7%D8%AA-%D8%AA%D8%B5%D9%84-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D9%88%D9%84%D8%A7-%D9%87%D8%AF%D9%86%D8%A9-%D9%81%D9%8A-%D8%B9%D8%AF%D8%A7%D8%AF-%D8%A7%D9%84%D9%88%D9%81%D9%8A%D8%A7"
LBN, 2021-04-03, 46800, Pfizer-BioNTech, Bilateral deal, "https://www.lorientlejour.com/article/1257488/le-liban-recoit-une-huitieme-cargaison-du-vaccin-pfizer-biontech.html"
LBN, 2021-04-11, 46800, Pfizer-BioNTech, Bilateral deal, "https://www.lorientlejour.com/article/1258201/le-liban-recoit-une-neuvieme-cargaison-du-vaccin-pfizer-biontech.html"
LBN, 2021-03-20, 53820, Pfizer-BioNTech,Bilateral deal, "https://www.aa.com.tr/fr/monde/vaccination-anti-covid-19-le-liban-recoit-54-mille-doses-du-vaccin-biontech-pfizer-/2182784"
LBN, 2021-03-13, 36270, Pfizer-BioNTech, Bilateral deal, "https://www.aa.com.tr/fr/monde/vaccination-anti-covid-19-le-liban-recoit-54-mille-doses-du-vaccin-biontech-pfizer-/2182784"
LBY,  2021-04-08, 58000 , AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/libya"
MAR, 2021-04-08, 300000, AstraZeneca, COVAX, "https://northafricapost.com/49729-covax-program-morocco-receives-650000-doses-of-astrazeneca-vaccine.html"
MAR, 2021-04-15, 650000, AstraZeneca, COVAX, "https://northafricapost.com/49729-covax-program-morocco-receives-650000-doses-of-astrazeneca-vaccine.html"
MAR, 2021-04-30, 500000, Sinopharm,  Bilateral deal, "https://www.moroccoworldnews.com/public/2021/05/341231/covid-19-morocco-receives-half-million-doses-of-sinopharm-vaccine"
MRT, 2021-04-14, 69500, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/mauritania"
MRT, 2021-04-26, 31200, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/mauritania"
OMN, 2021-04-11, 111540, Pfizer, Bilateral deal, "https://www.omanobserver.om/article/865/CORONAVIRUS/oman-to-receive-over-200000-vaccines-this-month"
OMN, 2021-04-11, 143200, AstraZeneca, Bilateral deal, "https://www.omanobserver.om/article/865/CORONAVIRUS/oman-to-receive-over-200000-vaccines-this-month"
PSE, 2021-02-18, 20000, Sputnik V, Donation, "https://www.i24news.tv/en/news/middle-east/1613660971-uae-donates-20-000-doses-of-russian-coronavirus-vaccine-to-gaza"
PSE, 2021-03-17, 24000, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/west-bank-and-gaza"
PSE, 2021-03-17, 37440, Pfizer-BioNTech, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/west-bank-and-gaza"
PSE, 2021-03-29, 100000, Sinopharm, Donation, "https://www.reuters.com/article/us-health-coronavirus-palestinians-vacci-idUSKBN2BL24D"
QAT,,,,,
SAU,,,,, 
SOM, 2021-03-15, 300000, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/somalia"
SDN, 2021-03-03, 820000, AstraZeneca, COVAX, "https://www.voanews.com/covid-19-pandemic/sudan-rwanda-receive-shipments-covid-19-vaccines"
SSD, 2021-03-25, 132000, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/south-sudan"
SYR, 2021-04-22, 256800, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/syria"
TUN, 2021-03-17, 93600, Pfizer-BioNTech, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/tunisia"
TUN, 2021-04-01, 98400, AstraZeneca, COVAX, "https://www.unicef.org/tunisia/recits/la-tunisie-re%C3%A7oit-un-2%C3%A8me-lot-de-98400-doses-de-vaccin-contre-la-covid-19-initiative-covax#:~:text=19%20%2D%20Initiative%20COVAX-,La%20Tunisie%20re%C3%A7oit%20un%202%C3%A8me%20lot%20de%2098.400%20doses%20de,de%20l'initiative%20mondiale%20COVAX&text=La%20Tunisie%20a%20re%C3%A7u%2C%20le,doses%20de%20vaccin%20Astra%20Zeneca"
TUN, 2021-05-16, 158400, AstraZeneca, COVAX, "https://www.unicef.org/tunisia/communiqu%C3%A9s-de-presse/la-tunisie-re%C3%A7oit-le-3%C3%A8me-lot-de-vaccins-contre-la-covid-19-dans-le-cadre-de"
TUN, 2021-03-25, 200000, Sinovac, Bilateral deal, "https://www.aa.com.tr/fr/afrique/tunisie-covid-19-livraison-de-200-000-doses-du-vaccin-chinois-sinovac/2188182"
TUN, 2021-03-09, 30000, Sputnik V, Bilateral deal, "https://www.usnews.com/news/business/articles/2021-03-09/tunisia-receives-first-batch-of-coronavirus-vaccines"
YEM, 2021-03-31, 360000, AstraZeneca, COVAX, "https://www.gavi.org/covax-vaccine-roll-out/yemen"

