Country,Sputnik,Date-Authorized,Source,CNBG,Date-Authorized,Source,Pfizer-BioNTech,Date-Authorized,Source,Astrazeneca,Date-Authorized,Source,Moderna,Date-Authorized,Source,J&J,Date-Authorized,Source
ARE,Authorized,2021-01-21,,Authorized,2020-09-15,,Authorized,2020-12-23,,Authorized,2021-02-02,,Not-Authorized,,,Not-Authorized,,
BHR,Authorized,2021-02-10,,Authorized,2020-12-13,,Authorized,2020-12-04,,Authorized,2021-01-27,,Not-Authorized,,,Authorized,2021-02-25,
DZA,Authorized,2021-01-10,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
EGY,Authorized,2021-02-24,,Authorized,2021-01-04,,Not-Authorized,,,Authorized,2021-02-01,,Not-Authorized,,,Not-Authorized,,
IRQ,Not-Authorized,,,Authorized,2021-01-19,,Authorized,2020-12-27,,Authorized,2021-01-19,,Not-Authorized,,,Not-Authorized,,
ISR,Not-Authorized,,,Not-Authorized,,,Authorized,,,Authorized,,,Authorized,2021-02-04,https://investors.modernatx.com/news-releases/news-release-details/israeli-ministry-health-authorizes-covid-19-vaccine-moderna-use/,Not-Authorized,,
JOR,Not-Authorized,,,Authorized,2021-01-09,,Authorized,2020-12-15,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
KWT,Not-Authorized,,,Not-Authorized,,,Authorized,2020-12-14,,Authorized,2021-01-29,,Not-Authorized,,,Not-Authorized,,
LBN,Authorized,2021-02-05,,Not-Authorized,,,Authorized,2021-01-15,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
LBY,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
MAR,Not-Authorized,,,Authorized,2021-01-22,,Not-Authorized,,,Authorized,2021-01-06,,Authorized,,,Not-Authorized,,
MRT,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
OMN,Not-Authorized,,,Not-Authorized,,,Authorized,2020-12-05,,Authorized,2021-01-30,,Authorized,,,Not-Authorized,,
PSE,Authorized,2021-01-22,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
QAT,Not-Authorized,,,Not-Authorized,,,Authorized,202-12-20,,Not-Authorized,,,Authorized,2021-02-10,,Not-Authorized,,
SAU,Not-Authorized,,,Not-Authorized,,,Authorized,202-12-10,,Authorized,2021-01-18,,Authorized,2021-01-18,,Not-Authorized,,
SOM,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
SDN,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
SSD,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
SYR,Authorized,2021-02-22,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
TUN,Authorized,2021-01-30,,Authorized,2021-03-05,,Authorized,2021-01-2021,,Authorized,2021-02-26,,Not-Authorized,,,Authorized,2021-04-08,https://www.webdo.tn/2021/04/08/le-vaccin-johnson-johnson-autorise-en-tunisie-15-million-de-doses-attendues/#.YHwt32dKjIU
YEM,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,,Not-Authorized,,
